S.N.,E,Gam,phi,C,Neu,dil,ExDep,Bfill,Plthk,FAng,Inc,Sp,Len,FOS,Dis
1,6500,22.5,26,5,0.3,0,2,0,150,5,15,0.5,1.2,1.605,-0.015
2,6500,22.5,26,5,0.3,0,2,0,150,5,15,0.5,1,1.454,-0.019
3,6500,22.5,26,5,0.3,0,2,0,150,5,15,0.5,0.8,1.323,-0.03
4,6500,22.5,26,5,0.3,0,2,0,150,5,15,0.7,1.2,1.299,-0.027
5,6500,22.5,26,5,0.3,0,2,0,150,5,15,0.7,1,1.248,-0.051
6,6500,22.5,26,5,0.3,0,2,0,150,5,15,0.7,0.8,0,-0.017
7,6500,22.5,26,5,0.3,0,2,0,150,5,15,0.9,1.2,1.381,-0.041
8,6500,22.5,26,5,0.3,0,2,0,150,5,15,0.9,1,1.298,-0.078
9,6500,22.5,26,5,0.3,0,2,0,150,5,15,0.9,0.8,0,-0.037
10,6500,22.5,26,5,0.3,0,2,0,150,10,15,0.5,1.2,1.662,-0.01
11,6500,22.5,26,5,0.3,0,2,0,150,10,15,0.5,1,1.526,-0.012
12,6500,22.5,26,5,0.3,0,2,0,150,10,15,0.5,0.8,1.408,-0.018
13,6500,22.5,26,5,0.3,0,2,0,150,10,15,0.7,1.2,1.436,-0.018
14,6500,22.5,26,5,0.3,0,2,0,150,10,15,0.7,1,1.327,-0.023
15,6500,22.5,26,5,0.3,0,2,0,150,10,15,0.7,0.8,1.208,-0.09
16,6500,22.5,26,5,0.3,0,2,0,150,10,15,0.9,1.2,1.439,-0.028
17,6500,22.5,26,5,0.3,0,2,0,150,10,15,0.9,1,1.361,-0.038
18,6500,22.5,26,5,0.3,0,2,0,150,10,15,0.9,0.8,1.254,-0.087
19,6500,22.5,26,5,0.3,0,4,0,150,5,15,0.5,1.2,1.563,-0.029
20,6500,22.5,26,5,0.3,0,4,0,150,5,15,0.5,1,1.429,-0.035
21,6500,22.5,26,5,0.3,0,4,0,150,5,15,0.5,0.8,1.173,-0.045
22,6500,22.5,26,5,0.3,0,4,0,150,5,15,0.7,1.2,1.268,-0.039
23,6500,22.5,26,5,0.3,0,4,0,150,5,15,0.7,1,1.148,-0.057
24,6500,22.5,26,5,0.3,0,4,0,150,5,15,0.7,0.8,0,-0.033
25,6500,22.5,26,5,0.3,0,4,0,150,5,15,0.9,1.2,1.128,-0.093
26,6500,22.5,26,5,0.3,0,4,0,150,5,15,0.9,1,0,-0.047
27,6500,22.5,26,5,0.3,0,4,0,150,5,15,0.9,0.8,0,-0.145
28,6500,22.5,26,5,0.3,0,4,0,150,10,15,0.5,1.2,1.618,-0.021
29,6500,22.5,26,5,0.3,0,4,0,150,10,15,0.5,1,1.478,-0.023
30,6500,22.5,26,5,0.3,0,4,0,150,10,15,0.5,0.8,1.298,-0.027
31,6500,22.5,26,5,0.3,0,4,0,150,10,15,0.7,1.2,1.416,-0.025
32,6500,22.5,26,5,0.3,0,4,0,150,10,15,0.7,1,1.31,-0.03
33,6500,22.5,26,5,0.3,0,4,0,150,10,15,0.7,0.8,0,-0.019
34,6500,22.5,26,5,0.3,0,4,0,150,10,15,0.9,1.2,1.285,-0.043
35,6500,22.5,26,5,0.3,0,4,0,150,10,15,0.9,1,1.068,-0.207
36,6500,22.5,26,5,0.3,0,4,0,150,10,15,0.9,0.8,0,-0.046
37,6500,22.5,26,5,0.3,0,6,0,150,5,15,0.5,1.2,1.408,-0.056
38,6500,22.5,26,5,0.3,0,6,0,150,5,15,0.5,1,1.282,-0.068
39,6500,22.5,26,5,0.3,0,6,0,150,5,15,0.5,0.8,1.116,-0.099
40,6500,22.5,26,5,0.3,0,6,0,150,5,15,0.7,1.2,1.259,-0.067
41,6500,22.5,26,5,0.3,0,6,0,150,5,15,0.7,1,1.107,-0.09
42,6500,22.5,26,5,0.3,0,6,0,150,5,15,0.7,0.8,0,-0.048
43,6500,22.5,26,5,0.3,0,6,0,150,5,15,0.9,1.2,1.035,-0.24
44,6500,22.5,26,5,0.3,0,6,0,150,5,15,0.9,1,0,-0.051
45,6500,22.5,26,5,0.3,0,6,0,150,5,15,0.9,0.8,0,-0.108
46,6500,22.5,26,5,0.3,0,6,0,150,10,15,0.5,1.2,1.465,-0.04
47,6500,22.5,26,5,0.3,0,6,0,150,10,15,0.5,1,1.332,-0.043
48,6500,22.5,26,5,0.3,0,6,0,150,10,15,0.5,0.8,1.148,-0.052
49,6500,22.5,26,5,0.3,0,6,0,150,10,15,0.7,1.2,1.319,-0.045
50,6500,22.5,26,5,0.3,0,6,0,150,10,15,0.7,1,1.161,-0.052
51,6500,22.5,26,5,0.3,0,6,0,150,10,15,0.7,0.8,0,-0.028
52,6500,22.5,26,5,0.3,0,6,0,150,10,15,0.9,1.2,1.092,-0.059
53,6500,22.5,26,5,0.3,0,6,0,150,10,15,0.9,1,0,-0.03
54,6500,22.5,26,5,0.3,0,6,0,150,10,15,0.9,0.8,0,-0.044
55,6500,22.5,26,5,0.3,0,8,0,150,5,15,0.5,1.2,1.366,-0.094
56,6500,22.5,26,5,0.3,0,8,0,150,5,15,0.5,1,1.233,-0.118
57,6500,22.5,26,5,0.3,0,8,0,150,5,15,0.5,0.8,1.073,-0.184
58,6500,22.5,26,5,0.3,0,8,0,150,5,15,0.7,1.2,1.233,-0.108
59,6500,22.5,26,5,0.3,0,8,0,150,5,15,0.7,1,1.094,-0.151
60,6500,22.5,26,5,0.3,0,8,0,150,5,15,0.7,0.8,0,-0.067
61,6500,22.5,26,5,0.3,0,8,0,150,5,15,0.9,1.2,0,-0.105
62,6500,22.5,26,5,0.3,0,8,0,150,5,15,0.9,1,0,-0.063
63,6500,22.5,26,5,0.3,0,8,0,150,5,15,0.9,0.8,0,-0.122
64,6500,22.5,26,5,0.3,0,8,0,150,10,15,0.5,1.2,1.418,-0.065
65,6500,22.5,26,5,0.3,0,8,0,150,10,15,0.5,1,1.282,-0.07
66,6500,22.5,26,5,0.3,0,8,0,150,10,15,0.5,0.8,1.108,-0.092
67,6500,22.5,26,5,0.3,0,8,0,150,10,15,0.7,1.2,1.261,-0.072
68,6500,22.5,26,5,0.3,0,8,0,150,10,15,0.7,1,1.134,-0.081
69,6500,22.5,26,5,0.3,0,8,0,150,10,15,0.7,0.8,0,-0.039
70,6500,22.5,26,5,0.3,0,8,0,150,10,15,0.9,1.2,1.074,-0.09
71,6500,22.5,26,5,0.3,0,8,0,150,10,15,0.9,1,0,-0.084
72,6500,22.5,26,5,0.3,0,8,0,150,10,15,0.9,0.8,0,-0.049
73,6500,22.5,26,5,0.3,0,10,0,150,5,15,0.5,1.2,1.362,-0.138
74,6500,22.5,26,5,0.3,0,10,0,150,5,15,0.5,1,1.206,-0.182
75,6500,22.5,26,5,0.3,0,10,0,150,5,15,0.5,0.8,1.056,-0.281
76,6500,22.5,26,5,0.3,0,10,0,150,5,15,0.7,1.2,1.165,-0.167
77,6500,22.5,26,5,0.3,0,10,0,150,5,15,0.7,1,0,-0.14
78,6500,22.5,26,5,0.3,0,10,0,150,5,15,0.7,0.8,0,-0.242
79,6500,22.5,26,5,0.3,0,10,0,150,5,15,0.9,1.2,1.039,-0.2
80,6500,22.5,26,5,0.3,0,10,0,150,5,15,0.9,1,0,-0.085
81,6500,22.5,26,5,0.3,0,10,0,150,5,15,0.9,0.8,0,-0.05
82,6500,22.5,26,5,0.3,0,10,0,150,10,15,0.5,1.2,1.403,-0.096
83,6500,22.5,26,5,0.3,0,10,0,150,10,15,0.5,1,1.264,-0.104
84,6500,22.5,26,5,0.3,0,10,0,150,10,15,0.5,0.8,1.092,-0.143
85,6500,22.5,26,5,0.3,0,10,0,150,10,15,0.7,1.2,1.213,-0.104
86,6500,22.5,26,5,0.3,0,10,0,150,10,15,0.7,1,1.055,-0.128
87,6500,22.5,26,5,0.3,0,10,0,150,10,15,0.7,0.8,0,-0.109
88,6500,22.5,26,5,0.3,0,10,0,150,10,15,0.9,1.2,1.122,-0.114
89,6500,22.5,26,5,0.3,0,10,0,150,10,15,0.9,1,0,-0.097
90,6500,22.5,26,5,0.3,0,10,0,150,10,15,0.9,0.8,0,-0.029
