S.N.	E	Gam	phi	C	Neu	dil	ExDep	Bfill	Plthk	FAng	Inc	Sp	Len	FOS	Dis
46	5000	22.5	26.0	5.0	0.3	0	6.0	0	150	10.0	15	0.5	1.2	1.467	-0.051
47	5000	22.5	26.0	5.0	0.3	0	6.0	0	150	10.0	15	0.5	1.0	1.358	-0.055
48	5000	22.5	26.0	5.0	0.3	0	6.0	0	150	10.0	15	0.5	0.8	1.169	-0.067
49	5000	22.5	26.0	5.0	0.3	0	6.0	0	150	10.0	15	0.7	1.2	1.324	-0.057
50	5000	22.5	26.0	5.0	0.3	0	6.0	0	150	10.0	15	0.7	1.0	1.173	-0.066
51	5000	22.5	26.0	5.0	0.3	0	6.0	0	150	10.0	15	0.7	0.8	0	-0.036
52	5000	22.5	26.0	5.0	0.3	0	6.0	0	150	10.0	15	0.9	1.2	1.106	-0.075
53	5000	22.5	26.0	5.0	0.3	0	6.0	0	150	10.0	15	0.9	1.0	0	-0.039
54	5000	22.5	26.0	5.0	0.3	0	6.0	0	150	10.0	15	0.9	0.8	0	-0.057
55	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	5.0	15	0.5	1.2	1.384	-0.121
56	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	5.0	15	0.5	1.0	1.235	-0.152
57	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	5.0	15	0.5	0.8	1.082	-0.235
58	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	5.0	15	0.7	1.2	1.229	-0.138
59	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	5.0	15	0.7	1.0	1.085	-0.193
60	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	5.0	15	0.7	0.8	0	-0.085
61	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	5.0	15	0.9	1.2	0	-0.134
62	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	5.0	15	0.9	1.0	0	-0.081
63	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	5.0	15	0.9	0.8	0	-0.154
64	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	10.0	15	0.5	1.2	1.43	-0.084
65	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	10.0	15	0.5	1.0	1.28	-0.09
66	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	10.0	15	0.5	0.8	1.127	-0.119
67	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	10.0	15	0.7	1.2	1.281	-0.092
68	5000	22.5	26.0	5.0	0.3	0	8.0	0	150	10.0	15	0.7	1.0	1.143	-0.104	
