column_name,angle,,C,E,FAng,Gam,Len,Neu,Plthk,Sp,phi
C,0.61,,0.61,0,0,0,0,0,0,0,0
E,-0.03,,0,-0.03,0,0,0,0,0,0,0
FAng,0.04,,0,0,0.04,0,0,0,0,0,0
Gam,-0.47,,0,0,0,-0.47,0,0,0,0,0
Len,0.52,,0,0,0,0,0.52,0,0,0,0
Neu,-0.02,,0,0,0,0,0,-0.02,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.22,,0,0,0,0,0,0,0,-0.22,0
phi,0.84,,0,0,0,0,0,0,0,0,0.84
C,0.6,,0.6,0,0,0,0,0,0,0,0
E,-0.04,,0,-0.04,0,0,0,0,0,0,0
FAng,0.04,,0,0,0.04,0,0,0,0,0,0
Gam,-0.45,,0,0,0,-0.45,0,0,0,0,0
Len,0.41,,0,0,0,0,0.41,0,0,0,0
Neu,-0.06,,0,0,0,0,0,-0.06,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.2,,0,0,0,0,0,0,0,-0.2,0
phi,0.76,,0,0,0,0,0,0,0,0,0.76
C,0.63,,0.63,0,0,0,0,0,0,0,0
E,-0.01,,0,-0.01,0,0,0,0,0,0,0
FAng,0.04,,0,0,0.04,0,0,0,0,0,0
Gam,-0.42,,0,0,0,-0.42,0,0,0,0,0
Len,0.33,,0,0,0,0,0.33,0,0,0,0
Neu,0.12,,0,0,0,0,0,0.12,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.23,,0,0,0,0,0,0,0,-0.23,0
phi,0.66,,0,0,0,0,0,0,0,0,0.66
C,0.64,,0.64,0,0,0,0,0,0,0,0
E,-0.01,,0,-0.01,0,0,0,0,0,0,0
FAng,0.05,,0,0,0.05,0,0,0,0,0,0
Gam,-0.49,,0,0,0,-0.49,0,0,0,0,0
Len,0.57,,0,0,0,0,0.57,0,0,0,0
Neu,0,,0,0,0,0,0,0,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.38,,0,0,0,0,0,0,0,-0.38,0
phi,0.8,,0,0,0,0,0,0,0,0,0.8
C,0.63,,0.63,0,0,0,0,0,0,0,0
E,-0.02,,0,-0.02,0,0,0,0,0,0,0
FAng,0.05,,0,0,0.05,0,0,0,0,0,0
Gam,-0.41,,0,0,0,-0.41,0,0,0,0,0
Len,0.47,,0,0,0,0,0.47,0,0,0,0
Neu,8.06,,0,0,0,0,0,8.06,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.28,,0,0,0,0,0,0,0,-0.28,0
phi,0.73,,0,0,0,0,0,0,0,0,0.73
C,1.33,,1.33,0,0,0,0,0,0,0,0
E,-0.02,,0,-0.02,0,0,0,0,0,0,0
FAng,0.06,,0,0,0.06,0,0,0,0,0,0
Gam,-0.47,,0,0,0,-0.47,0,0,0,0,0
Len,0.38,,0,0,0,0,0.38,0,0,0,0
Neu,0.08,,0,0,0,0,0,0.08,0,0,0
Plthk,0.01,,0,0,0,0,0,0,0.01,0,0
Sp,-0.32,,0,0,0,0,0,0,0,-0.32,0
phi,0.61,,0,0,0,0,0,0,0,0,0.61
C,0.66,,0.66,0,0,0,0,0,0,0,0
E,-0.14,,0,-0.14,0,0,0,0,0,0,0
FAng,0.08,,0,0,0.08,0,0,0,0,0,0
Gam,-0.32,,0,0,0,-0.32,0,0,0,0,0
Len,0.53,,0,0,0,0,0.53,0,0,0,0
Neu,-0.12,,0,0,0,0,0,-0.12,0,0,0
Plthk,0.02,,0,0,0,0,0,0,0.02,0,0
Sp,-0.49,,0,0,0,0,0,0,0,-0.49,0
phi,0.71,,0,0,0,0,0,0,0,0,0.71
C,1.34,,1.34,0,0,0,0,0,0,0,0
E,-0.05,,0,-0.05,0,0,0,0,0,0,0
FAng,0.06,,0,0,0.06,0,0,0,0,0,0
Gam,-0.4,,0,0,0,-0.4,0,0,0,0,0
Len,0.44,,0,0,0,0,0.44,0,0,0,0
Neu,0.02,,0,0,0,0,0,0.02,0,0,0
Plthk,0.01,,0,0,0,0,0,0,0.01,0,0
Sp,-0.36,,0,0,0,0,0,0,0,-0.36,0
phi,0.69,,0,0,0,0,0,0,0,0,0.69
C,1.21,,1.21,0,0,0,0,0,0,0,0
E,-0.06,,0,-0.06,0,0,0,0,0,0,0
FAng,0.07,,0,0,0.07,0,0,0,0,0,0
Gam,-0.42,,0,0,0,-0.42,0,0,0,0,0
Len,0.35,,0,0,0,0,0.35,0,0,0,0
Neu,-0.01,,0,0,0,0,0,-0.01,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.41,,0,0,0,0,0,0,0,-0.41,0
phi,0.58,,0,0,0,0,0,0,0,0,0.58
C,0.64,,0.64,0,0,0,0,0,0,0,0
