S.N.,E,Gam,phi,C,Neu,dil,ExDep,Bfill,Plthk,FAng,Inc,Sp,Len,FOS,Dis
1,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.5,1.2,2.304,-0.043
2,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.5,1.0,2.146,-0.046
3,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.5,0.8,2.004,-0.049
4,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.7,1.2,2.187,-0.047
5,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.7,1.0,2.022,-0.049
6,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.7,0.8,1.858,-0.054
7,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.9,1.2,1.996,-0.05
8,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.9,1.0,1.868,-0.053
9,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.9,0.8,1.689,-0.059
10,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.5,1.2,2.38,-0.035
11,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.5,1.0,2.218,-0.037
12,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.5,0.8,2.071,-0.039
13,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.7,1.2,2.274,-0.037
14,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.7,1.0,2.117,-0.04
15,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.7,0.8,1.956,-0.042
16,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.9,1.2,2.135,-0.04
17,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.9,1.0,1.975,-0.042
18,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.9,0.8,1.815,-0.044
19,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.5,1.2,2.298,-0.043
20,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.5,1.0,2.138,-0.046
21,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.5,0.8,2.007,-0.05
22,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.7,1.2,2.183,-0.047
23,8000,19.5,26.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.7,1.0,2.022,-0.049
