S.N.	E	Gam	phi	C	Neu	dil	ExDep	Bfill	Plthk	FAng	Inc	Sp	Len
1	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.5	1.2
2	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.5	1.0
3	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.5	0.8
4	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.7	1.2
5	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.7	1.0
6	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.7	0.8
7	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.9	1.2
8	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.9	1.0
9	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	5.0	15	0.9	0.8
10	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.5	1.2
11	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.5	1.0
12	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.5	0.8
13	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.7	1.2
14	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.7	1.0
15	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.7	0.8
16	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.9	1.2
17	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.9	1.0
18	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	100	10.0	15	0.9	0.8
19	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.5	1.2
20	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.5	1.0
21	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.5	0.8
22	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.7	1.2
23	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.7	1.0
24	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.7	0.8
25	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.9	1.2
26	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.9	1.0
27	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	5.0	15	0.9	0.8
28	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.5	1.2
29	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.5	1.0
30	8000	19.5	26.0	25.0	0.35	0	6.0	21.0	200	10.0	15	0.5	0.8
