S.N.	E	Gam	phi	C	Neu	dil	ExDep	Bfill	Plthk	FAng	Inc	Sp	Len	FOS	Dis	

2001	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	5.0	15	0.5	0.8	2.001	-0.045
2002	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	5.0	15	0.7	1.2	2.195	-0.041
2003	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	5.0	15	0.7	1.0	2.031	-0.045
2004	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	5.0	15	0.7	0.8	1.877	-0.051
2005	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	5.0	15	0.9	1.2	2.045	-0.045
2006	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	5.0	15	0.9	1.0	1.882	-0.05
2007	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	5.0	15	0.9	0.8	1.703	-0.058
2008	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	10.0	15	0.5	1.2	2.39	-0.026
2009	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	10.0	15	0.5	1.0	2.219	-0.028
2010	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	10.0	15	0.5	0.8	2.087	-0.031
2011	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	10.0	15	0.7	1.2	2.271	-0.029
2012	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	10.0	15	0.7	1.0	2.126	-0.032
2013	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	10.0	15	0.7	0.8	1.949	-0.035
2014	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	10.0	15	0.9	1.2	2.113	-0.032
2015	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	10.0	15	0.9	1.0	1.968	-0.035
2016	6500	19.5	26.0	25.0	0.3	0	6.0	0	200	10.0	15	0.9	0.8	1.814	-0.038
2017	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	5.0	15	0.5	1.2	1.912	-0.06
2018	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	5.0	15	0.5	1.0	1.78	-0.065
2019	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	5.0	15	0.5	0.8	1.607	-0.071
2020	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	5.0	15	0.7	1.2	1.803	-0.067
2021	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	5.0	15	0.7	1.0	1.667	-0.071
2022	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	5.0	15	0.7	0.8	1.539	-0.081
2023	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	5.0	15	0.9	1.2	1.657	-0.074
2024	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	5.0	15	0.9	1.0	1.522	-0.082
2025	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	5.0	15	0.9	0.8	1.313	-0.107
2026	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	10.0	15	0.5	1.2	1.97	-0.049
2027	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	10.0	15	0.5	1.0	1.841	-0.051
2028	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	10.0	15	0.5	0.8	1.689	-0.055
2029	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	10.0	15	0.7	1.2	1.873	-0.052
2030	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	10.0	15	0.7	1.0	1.75	-0.057
2031	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	10.0	15	0.7	0.8	1.579	-0.062
2032	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	10.0	15	0.9	1.2	1.743	-0.058
2033	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	10.0	15	0.9	1.0	1.581	-0.062
2034	6500	19.5	26.0	15.0	0.35	0	6.0	0	100	10.0	15	0.9	0.8	1.441	-0.066
2035	6500	19.5	26.0	15.0	0.35	0	6.0	0	200	5.0	15	0.5	1.2	1.9	-0.059
2036	6500	19.5	26.0	15.0	0.35	0	6.0	0	200	5.0	15	0.5	1.0	1.78	-0.063
2037	6500	19.5	26.0	15.0	0.35	0	6.0	0	200	5.0	15	0.5	0.8	1.636	-0.069
2038	6500	19.5	26.0	15.0	0.35	0	6.0	0	200	5.0	15	0.7	1.2	1.81	-0.064
